"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Jones, Jared","683003","2024","252",27.8,4.8,".294",".290",35.5,9.5,42.6,"78.340103412","94.442159467",33.7,55.5
"Eflin, Zach","621107","2024","246",17.9,1.6,".316",".302",30.5,7.6,41.6,"77.595418163","94.453881582",20.9,49.4
"Montas, Frankie","593423","2024","207",15.9,8.7,".338",".344",33.6,7.2,40.8,"77.503923108","94.259711284",19.7,49.5
"Parker, Mitchell","680730","2024","202",21.3,5.9,".282",".298",29.9,7.5,40.8,"79.323862055","94.341031862",23.5,52.6
"Harrison, Kyle","690986","2024","282",21.3,7.8,".345",".347",36.9,11.3,43.1,"79.656836327","94.720405282",23.1,48.4
"Lively, Ben","594902","2024","202",23.3,7.4,".310",".303",39.3,8.6,42.1,"81.810956232","94.44620635",20.2,46.9
"Gomber, Austin","596295","2024","235",17.4,7.2,".292",".324",31.6,9.6,37.9,"78.758575402","93.810016667",21.9,46
"Soroka, Michael","647336","2024","244",16.8,13.5,".366",".372",33.9,10.1,38.1,"77.805810238","94.372615689",20,42.6
"Crochet, Garrett","676979","2024","276",33.7,5.4,".261",".239",33.7,5.4,35.5,"75.320033614","93.668800424",30.4,51.1
"Irvin, Cole","608344","2024","205",17.6,5.4,".282",".330",35.7,8.9,38.9,"80.218689744","93.967264516",17.5,48.1
"Arrighetti, Spencer","681293","2024","200",25.5,11.5,".350",".330",43.5,6.5,38.7,"77.864580484","94.215611371",27.7,46.4
"Nola, Aaron","605400","2024","306",23.2,7.2,".274",".295",34.3,6.1,37.1,"77.364269906","93.704807915",22.9,49.4
"Cease, Dylan","656302","2024","282",30.9,7.4,".252",".288",36.6,10.5,33.7,"78.282333059","93.962319",33.2,47.5
"Civale, Aaron","650644","2024","267",22.5,6.7,".334",".319",40.6,7.5,41.7,"79.882138065","94.433926882",21.1,45.5
"Mikolas, Miles","571945","2024","275",18.2,5.1,".348",".347",37,8.7,44.7,"78.158342233","94.60140068",16.9,47.1
"Kikuchi, Yusei","579328","2024","278",23.4,5,".308",".299",32.2,9,43.7,"79.622933673","94.654330256",23.8,48.6
"Musgrove, Joe","605397","2024","214",20.6,7,".389",".374",37.2,11.5,39.2,"79.31452027","93.731823514",27.9,47.4
"Rodriguez, Grayson","680570","2024","219",27.9,9.6,".319",".311",40.3,8.2,42.5,"78.27126209","94.213616045",30.9,48.2
